pair	term1	term2	term2: unigram or bigram	source	relation	relatedness score	pos
(access information, information access)	access information	information access	bigram	Wikipedia_transposed	None	0.617	n-n
(access road, road access)	access road	road access	bigram	Wikipedia_transposed	None	0.684	n-n
(access service, service access)	access service	service access	bigram	Wikipedia_transposed	None	0.637	n-n
(adult female, female adult)	adult female	female adult	bigram	Wikipedia_transposed	None	0.812	n-n
(adult male, male adult)	adult male	male adult	bigram	Wikipedia_transposed	None	0.883	n-n
(advertising campaign, campaign advertising)	advertising campaign	campaign advertising	bigram	Wikipedia_transposed	None	0.677	n-n
(ageing population, population ageing)	ageing population	population ageing	bigram	Wikipedia_transposed	None	0.798	a-n
(air carrier, carrier air)	air carrier	carrier air	bigram	Wikipedia_transposed	None	0.445	n-n
(air cleaner, cleaner air)	air cleaner	cleaner air	bigram	Wikipedia_transposed	None	0.631	n-n
(air forces, forces air)	air forces	forces air	bigram	Wikipedia_transposed	None	0.640	n-n
(air pressure, pressure air)	air pressure	pressure air	bigram	Wikipedia_transposed	None	0.623	n-n
(air show, show air)	air show	show air	bigram	Wikipedia_transposed	None	0.594	n-n
(aircraft carrier, carrier aircraft)	aircraft carrier	carrier aircraft	bigram	Wikipedia_transposed	None	0.745	n-n
(appeal court, court appeal)	appeal court	court appeal	bigram	Wikipedia_transposed	None	0.656	a-n
(arms control, control arms)	arms control	control arms	bigram	Wikipedia_transposed	None	0.473	n-n
(art school, school art)	art school	school art	bigram	Wikipedia_transposed	None	0.614	a-n
(art student, student art)	art student	student art	bigram	Wikipedia_transposed	None	0.532	n-n
(arts community, community arts)	arts community	community arts	bigram	Wikipedia_transposed	None	0.581	n-n
(attack aircraft, aircraft attack)	attack aircraft	aircraft attack	bigram	Wikipedia_transposed	None	0.653	n-n
(attorney general, general attorney)	attorney general	general attorney	bigram	Wikipedia_transposed	None	0.725	n-n
(audio cd, cd audio)	audio cd	cd audio	bigram	Wikipedia_transposed	None	0.804	a-n
(audio recording, recording audio)	audio recording	recording audio	bigram	Wikipedia_transposed	None	0.828	a-n
(average person, person average)	average person	person average	bigram	Wikipedia_transposed	None	0.518	a-n
(awards ceremony, ceremony awards)	awards ceremony	ceremony awards	bigram	Wikipedia_transposed	None	0.815	n-n
(ball game, game ball)	ball game	game ball	bigram	Wikipedia_transposed	None	0.508	n-n
(bank branch, branch bank)	bank branch	branch bank	bigram	Wikipedia_transposed	None	0.795	n-n
(banking business, business banking)	banking business	business banking	bigram	Wikipedia_transposed	None	0.662	n-n
(banking community, community banking)	banking community	community banking	bigram	Wikipedia_transposed	None	0.605	n-n
(base rate, rate base)	base rate	rate base	bigram	Wikipedia_transposed	None	0.500	n-n
(beacon light, light beacon)	beacon light	light beacon	bigram	Wikipedia_transposed	None	0.648	n-n
(blood donor, donor blood)	blood donor	donor blood	bigram	Wikipedia_transposed	None	0.635	n-n
(board game, game board)	board game	game board	bigram	Wikipedia_transposed	None	0.758	n-n
(board member, member board)	board member	member board	bigram	Wikipedia_transposed	None	0.724	n-n
