pair	term1	term2	term2: unigram or bigram	source	relation	relatedness score	pos
(access information, information access)	access information	information access	bigram	Wikipedia_transposed	None	0.617	n-n
(access information, inquiry)	access information	inquiry	unigram	PhraseTable_co-aligned	None	0.565	n-n
(access information, public service)	access information	public service	bigram	PhraseTable_co-aligned	None	0.497	n-n
(access information, enquiry)	access information	enquiry	unigram	PhraseTable_co-aligned	None	0.473	n-n
(access information, intelligence)	access information	intelligence	unigram	PhraseTable_co-aligned	None	0.395	n-n
(access information, annual report)	access information	annual report	bigram	PhraseTable_co-aligned	None	0.347	n-n
(access information, privacy)	access information	privacy	unigram	PhraseTable_co-aligned	None	0.339	n-n
(access information, documentary material)	access information	documentary material	bigram	PhraseTable_co-aligned	None	0.336	n-n
(access information, detail)	access information	detail	unigram	PhraseTable_co-aligned	None	0.331	n-n
(access information, auditor general)	access information	auditor general	bigram	PhraseTable_co-aligned	None	0.293	n-n
(access information, business continuity)	access information	business continuity	bigram	PhraseTable_co-aligned	None	0.199	n-n
(access road, route)	access road	route	unigram	WordNet_is-a	hypernym	0.773	n-n
(access road, path)	access road	path	unigram	PhraseTable_co-aligned	None	0.733	n-n
(access road, driveway)	access road	driveway	unigram	PhraseTable_co-aligned	None	0.705	n-n
(access road, road access)	access road	road access	bigram	Wikipedia_transposed	None	0.684	n-n
(access road, roadway)	access road	roadway	unigram	PhraseTable_co-aligned	None	0.595	n-n
(access road, gateway)	access road	gateway	unigram	PhraseTable_co-aligned	None	0.490	n-n
(access road, entry point)	access road	entry point	bigram	PhraseTable_co-aligned	None	0.458	n-n
(access road, lead track)	access road	lead track	bigram	PhraseTable_co-aligned	None	0.345	n-n
(access road, line service)	access road	line service	bigram	PhraseTable_co-aligned	None	0.229	n-n
(access service, service access)	access service	service access	bigram	Wikipedia_transposed	None	0.637	n-n
(access service, accessibility)	access service	accessibility	unigram	PhraseTable_co-aligned	None	0.539	n-n
(access service, entry point)	access service	entry point	bigram	PhraseTable_co-aligned	None	0.518	n-n
(access service, entry)	access service	entry	unigram	PhraseTable_co-aligned	None	0.474	n-n
(access service, accessible location)	access service	accessible location	bigram	PhraseTable_co-aligned	None	0.465	n-n
(access service, record number)	access service	record number	bigram	PhraseTable_co-aligned	None	0.442	n-n
(access service, availability)	access service	availability	unigram	PhraseTable_co-aligned	None	0.417	n-n
